id;job_id;jrt_status_code;jrt_start_dttm;jrt_end_dttm;jrt_result;jrt_log
1;program UAE Dirham hack;CANCELLED;2020-08-31T17:31:38;2020-09-01T00:45:24;70825;54849
2;Alley orchid Configuration;EXECUTING;2020-09-01T04:46:04;2020-09-01T08:43:37;8667;52682
3;Sports envisioneer synthesize;ERROR;2020-09-01T09:34:33;2020-08-31T22:36:59;43395;53255
4;Cheese quantifying;EXECUTING;2020-08-31T11:24:49;2020-09-01T01:19:58;87266;69436
5;support;ERROR;2020-08-31T16:22:13;2020-08-31T15:36:56;8012;26401
6;maximized Officer Direct;CANCELLED;2020-09-01T06:42:14;2020-08-31T11:52:19;56392;42126
7;port;DELIVERED;2020-09-01T06:24:52;2020-08-31T12:53:58;37947;52868
8;neutral;ERROR;2020-08-31T17:53:59;2020-08-31T15:33:18;84792;47943
9;Bedfordshire disintermediate bypassing;EXECUTING;2020-08-31T14:52:18;2020-08-31T16:55:16;80208;39459
10;Netherlands Antillian Guilder;DELIVERED;2020-08-31T12:22:54;2020-09-01T04:12:22;1005;66711
