id;job_code;job_name;job_user;job_parameter_json;job_create_dttm;job_interval_start_dttm;job_interval_end_dttm;job_next_dttm;job_schedule_expression;job_last_is_success_bool;job_status_code
1;Pine USB;Uzbekistan virtual;Supervisor Florida;matrix Technician deposit;2020-09-01T00:03:49;2020-08-31T22:55:27;2020-08-31T15:58:28;2020-09-01T03:09:00;Car orange Cordoba Oro;false;FINISHED
2;transitional fuchsia;models Fantastic Soft Tuna;Implementation Realigned;Persevering Refined Concrete Fish;2020-08-31T12:58:51;2020-09-01T06:16:48;2020-08-31T23:59:55;2020-08-31T22:37:11;Course;false;SCHEDULED
3;Toys web-enabled silver;Legacy application deposit;Compatible Forward;RSS harness Fantastic Steel Table;2020-09-01T03:26:08;2020-08-31T16:10:21;2020-08-31T18:05:28;2020-09-01T07:39:39;software;false;CANCELLED
4;Versatile bluetooth;Generic synthesize;Markets front-end indigo;attitude-oriented override;2020-08-31T18:06:43;2020-08-31T21:18:53;2020-08-31T16:24:11;2020-08-31T19:51:26;e-services system transmitter;true;ACTIVE
5;Kuwait solid state;holistic bypass interfaces;Road;Cambridgeshire Auto Loan Account Tajikistan;2020-09-01T09:47:54;2020-09-01T10:26:06;2020-08-31T20:53:39;2020-08-31T16:22:31;deposit Avon;false;FINISHED
6;channels;Shoes virtual Drives;Savings Account;Generic compress Awesome;2020-09-01T03:22:58;2020-09-01T03:36:14;2020-08-31T11:50:22;2020-09-01T05:33:59;invoice Buckinghamshire Beauty;true;FINISHED
7;Prairie;Strategist Books;redefine Versatile Officer;Gloves;2020-09-01T03:16:27;2020-09-01T00:11:23;2020-09-01T08:32:25;2020-08-31T11:36:58;Ergonomic Concrete Car Avon fuchsia;false;SCHEDULED
8;Fiji Dollar connect;deposit Bond Markets Units European Composite Unit (EURCO) primary;Practical Steel Bacon;Sausages implementation pricing structure;2020-09-01T05:06:55;2020-08-31T20:57:52;2020-09-01T02:32:09;2020-09-01T09:11:34;Metal;true;FINISHED
9;Handmade Steel Ball backing up;HTTP;Guernsey Executive Dynamic;bleeding-edge Forge;2020-08-31T19:40:23;2020-08-31T23:06:53;2020-08-31T19:23:54;2020-09-01T03:05:02;interface Concrete mesh;true;SCHEDULED
10;Practical Soft Chicken wireless;navigating;reinvent hard drive Cloned;De-engineered cross-platform Mobility;2020-08-31T23:08:31;2020-08-31T21:21:30;2020-08-31T17:03:39;2020-08-31T11:12:26;Bike Union;true;SCHEDULED
